BCUT2D_MWHI,BCUT2D_MRHI,BCUT2D_MRLOW,PEOE_VSA10,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA5,PEOE_VSA9,SMR_VSA3,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,TPSA,EState_VSA11,VSA_EState2,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,Value
32.166553,7.9931564,-0.13344242,0.0,5.1564364,0.0,5.9693055,4.794537,0.0,25.032984,9.9679575,9.473726,0.0,11.759976,81.54,0.0,19.439606,0.0,1.0,0.0,5.43
35.495693,6.316478,-0.15685235,17.248535,0.0,0.0,5.9693055,0.0,0.0,18.236397,0.0,14.210588,0.0,17.248535,64.99,0.0,11.659181,1.0,0.0,0.0,5.54
19.142147,5.8113914,-0.14947622,17.271397,6.103966,0.0,5.9693055,0.0,0.0,6.5447564,9.551078,0.0,4.390415,0.0,77.49,0.0,15.950646,0.0,2.0,0.0,6.42
16.477093,5.6864204,-0.13813663,11.509759,0.0,0.0,5.9693055,9.694447,0.0,18.845566,9.883888,4.736863,0.0,5.7495117,75.8,0.0,17.903055,0.0,1.0,0.0,6.62
16.475752,5.990793,0.06970967,11.499023,0.0,5.90718,5.9693055,4.794537,0.0,19.783047,9.883888,14.790515,0.0,11.499023,89.79,0.0,24.70728,0.0,1.0,0.0,8.0
19.14215,5.9930334,0.069705695,11.566732,0.0,5.90718,5.9693055,4.794537,0.0,18.71509,9.883888,10.053652,4.390415,5.7495117,80.56,0.0,24.818634,0.0,1.0,0.0,8.3
32.13339,7.0751395,-0.13830526,5.760247,0.0,0.0,5.9693055,4.794537,0.0,11.611834,4.9839787,0.0,0.0,0.0,63.33,0.0,16.333517,0.0,2.0,0.0,5.8
32.233116,7.887617,0.069707304,0.0,0.0,5.90718,5.9693055,4.794537,0.0,10.458935,9.883888,10.455762,0.0,0.0,131.49,0.0,24.573103,0.0,1.0,0.0,6.51
35.495693,6.3009887,-0.14498083,5.7495117,0.0,0.0,12.145604,0.0,0.0,5.5634513,0.0,4.736863,13.171246,5.7495117,46.53,0.0,11.290845,0.0,0.0,0.0,6.66
16.551006,5.881221,-0.13262133,11.509759,0.0,0.0,12.062546,0.0,0.0,18.907692,9.883888,4.736863,4.794537,5.7495117,102.1,0.0,30.355438,1.0,1.0,0.0,6.01
32.16673,8.145595,-0.118575476,16.748962,5.783245,5.2392116,0.0,19.7004,0.0,13.213764,5.3167887,14.790515,4.794537,11.499023,81.7,0.0,36.301956,1.0,0.0,1.0,7.19
19.41319,5.6675453,-0.1378588,11.499023,11.499023,0.0,12.145604,4.794537,0.0,18.2743,0.0,14.210588,13.171246,22.998047,64.99,0.0,10.765725,0.0,0.0,0.0,8.22
35.49899,7.9233837,0.09532775,11.499023,0.0,15.93047,0.0,14.50061,0.0,31.723679,10.300767,14.775746,5.6873865,11.499023,97.39,0.0,16.408169,0.0,1.0,0.0,7.46
32.233273,7.923305,0.5883423,5.8244047,0.0,10.023292,5.6897435,14.273173,0.0,29.018398,19.331562,10.411839,5.6873865,0.0,98.88,0.0,17.699411,0.0,2.0,0.0,4.82
19.145464,5.977548,0.09505436,23.133465,0.0,5.90718,0.0,4.794537,0.0,20.76435,9.883888,14.790515,8.78083,11.499023,52.49,0.0,12.690291,0.0,1.0,0.0,6.5
32.133476,7.1312575,-0.13647367,11.499023,0.0,0.0,5.9693055,4.794537,11.336786,12.710849,0.0,9.473726,0.0,11.499023,55.76,0.0,11.985811,0.0,1.0,0.0,5.96
19.413366,5.9913297,-0.15480752,0.0,6.041841,5.90718,6.1762986,4.794537,0.0,0.0,9.883888,5.3167887,13.171246,0.0,34.03,0.0,13.162575,0.0,1.0,0.0,7.77
79.91873,9.103241,0.069664426,0.0,0.0,0.0,5.9693055,0.0,5.098682,11.250837,20.207254,0.0,0.0,0.0,80.9,0.0,10.901277,0.0,1.0,0.0,5.29
16.477688,6.1004977,-0.14880069,23.301111,0.0,0.0,5.9693055,9.694447,0.0,25.328514,4.9839787,14.373635,5.6873865,11.499023,102.1,0.0,31.374397,1.0,1.0,1.0,6.66
16.365213,5.9498096,-0.13648124,0.0,0.0,11.81436,5.9693055,14.383612,0.0,0.0,10.216699,5.3167887,0.0,0.0,86.71,0.0,38.208397,0.0,0.0,0.0,4.41
16.514376,5.9905286,-0.14371535,5.7495117,6.103966,5.90718,5.9693055,4.794537,0.0,6.041841,9.883888,10.053652,0.0,5.7495117,80.56,0.0,24.359642,0.0,1.0,0.0,7.23
32.16654,7.98244,-0.13921526,23.855417,6.606882,0.0,12.145604,0.0,11.761885,17.065817,0.0,14.210588,13.171246,17.248535,64.99,0.0,11.805555,1.0,0.0,0.0,5.25
32.16673,8.145593,-0.11857284,22.498474,0.0,5.2392116,0.0,14.905863,0.0,19.31773,5.3167887,19.527378,4.794537,17.248535,73.86,0.0,23.342417,1.0,0.0,1.0,7.43
19.413244,5.8729043,-0.14127316,18.04378,11.276948,0.0,12.145604,4.794537,0.0,24.11669,9.7237625,9.473726,13.171246,11.499023,86.72,0.0,11.0563345,0.0,2.0,0.0,5.89
19.413242,5.850013,-0.14127307,18.04378,11.276948,0.0,12.145604,4.794537,0.0,24.11669,9.7237625,9.473726,13.171246,11.499023,86.72,0.0,11.013345,0.0,2.0,0.0,5.98
35.497917,7.9244647,-0.14441511,21.771898,5.7495117,10.023292,12.352597,9.706074,0.0,21.929497,4.9839787,9.458958,32.029877,11.499023,68.29,0.0,2.925642,0.0,1.0,0.0,7.51
32.16673,8.145594,-0.1185722,16.748962,0.0,5.2392116,0.0,14.905863,0.0,13.213764,5.3167887,14.790515,4.794537,11.499023,64.63,0.0,23.351284,1.0,0.0,1.0,6.82
16.550627,5.6939454,-0.13784222,11.509759,0.0,0.0,12.062546,4.794537,0.0,25.328514,9.883888,4.736863,4.794537,5.7495117,102.1,0.0,29.822605,1.0,1.0,1.0,5.55
19.14546,5.981614,0.09501685,11.634441,0.0,5.90718,0.0,4.794537,0.0,6.5447564,9.883888,5.3167887,8.78083,0.0,34.03,0.0,12.687034,0.0,1.0,0.0,5.17
16.371374,5.8844585,-0.14277355,6.041841,0.0,0.0,11.938611,9.589074,0.0,6.041841,10.300767,11.050456,0.0,0.0,145.51,0.0,36.84211,0.0,1.0,0.0,5.06
16.498547,6.1036496,-0.1364776,11.499023,5.783245,0.0,5.9693055,9.589074,0.0,18.2743,0.0,9.473726,0.0,11.499023,72.83,0.0,23.916079,0.0,0.0,0.0,7.92
16.550632,5.6986012,-0.1376457,11.509759,0.0,0.0,12.062546,4.794537,0.0,25.328514,9.883888,4.736863,4.794537,5.7495117,102.1,0.0,29.866423,1.0,1.0,1.0,5.26
16.368279,5.8825665,-0.14175223,6.041841,5.9595547,0.0,5.9693055,10.203821,0.0,6.041841,15.617556,22.100912,0.0,0.0,170.11,0.0,26.730341,0.0,1.0,0.0,4.81
35.495693,7.9243994,-0.14374329,5.7495117,6.103966,10.023292,5.9693055,4.305216,0.0,10.58287,0.0,9.042079,5.6873865,5.7495117,83.91,0.0,11.69896,0.0,0.0,0.0,5.1
35.495693,6.3165927,-0.1546832,17.248535,0.0,0.0,5.9693055,0.0,0.0,18.236397,0.0,14.210588,0.0,17.248535,64.99,0.0,11.459044,1.0,0.0,0.0,4.82
79.91873,9.102399,0.06970764,4.603196,0.0,5.90718,5.9693055,4.794537,0.0,11.605292,14.8678665,5.3167887,0.0,0.0,84.22,0.0,28.866827,0.0,2.0,0.0,7.01
32.23336,7.9256344,0.060208946,15.522142,0.0,10.023292,5.9693055,4.722095,11.336786,19.90698,0.0,14.775746,17.062159,5.7495117,93.73,0.0,11.66849,0.0,1.0,0.0,5.12
16.365133,5.6605988,-0.13660263,0.0,0.0,0.0,5.9693055,4.794537,0.0,0.0,0.0,0.0,0.0,0.0,37.3,0.0,10.313808,0.0,0.0,0.0,5.8
16.550728,5.7429214,-0.14197044,11.509759,0.0,0.0,12.062546,4.794537,0.0,24.825598,9.883888,4.736863,4.794537,5.7495117,102.1,0.0,29.95498,1.0,1.0,1.0,5.77
35.499,7.924463,0.4409364,10.644996,11.566732,10.023292,0.0,9.706074,0.0,26.95213,4.9839787,9.458958,10.077802,11.499023,68.29,0.0,3.595852,0.0,1.0,0.0,7.74
32.25164,8.149301,-0.11847756,36.0006,0.0,5.2392116,10.399,24.011362,0.0,18.904491,15.284745,24.427288,10.6124,23.128525,177.48,0.0,33.433537,1.0,1.0,1.0,7.74
35.495693,6.3414063,-0.38445103,5.5167007,5.58302,11.594566,0.0,14.908855,0.0,15.509396,4.9839787,5.3167887,11.374773,0.0,98.27,0.0,27.39649,0.0,1.0,0.0,5.89
16.611742,5.884534,-0.25488296,31.022747,0.0,0.0,23.877222,9.589074,0.0,18.12584,0.0,0.0,0.0,0.0,137.96,0.0,49.24819,2.0,0.0,1.0,4.71
16.365679,5.99261,0.069707,0.0,0.0,5.90718,5.9693055,9.778516,0.0,11.605292,14.8678665,5.3167887,0.0,0.0,84.22,0.0,29.439016,0.0,2.0,0.0,7.49
19.413244,5.848834,-0.14125712,11.499023,11.276948,0.0,12.145604,4.794537,0.0,25.02081,9.7237625,9.473726,13.171246,11.499023,86.72,0.0,10.800782,0.0,2.0,0.0,6.23
16.477085,5.892169,0.06957402,11.509759,0.0,0.0,5.9693055,0.0,0.0,17.864262,9.551078,4.736863,0.0,5.7495117,77.49,0.0,16.501314,0.0,2.0,0.0,6.8
35.495693,6.303165,-0.13970171,11.499023,11.499023,0.0,12.145604,4.794537,0.0,18.2743,0.0,14.210588,13.171246,22.998047,64.99,0.0,10.733637,0.0,0.0,0.0,7.21
16.515505,5.7286935,-0.14454341,17.259272,6.103966,0.0,5.9693055,0.0,0.0,12.30081,4.9839787,9.473726,0.0,11.499023,81.79,0.0,16.20042,0.0,1.0,0.0,6.89
16.61069,5.8470507,-0.22842799,24.918781,0.0,0.0,17.907915,9.589074,0.0,12.0218725,0.0,0.0,0.0,0.0,91.43,0.0,35.4264,2.0,0.0,1.0,4.92
35.495693,6.3391137,-0.13748036,17.02785,0.0,5.90718,12.145604,9.778516,0.0,27.229689,14.764463,0.0,17.56166,0.0,85.08,0.0,28.271845,0.0,2.0,0.0,5.7
35.495693,7.924854,-0.14372815,17.383953,6.103966,10.023292,5.9693055,4.305216,0.0,10.58287,0.0,9.042079,14.468216,5.7495117,83.91,4.390415,11.089172,0.0,0.0,0.0,5.8
